Date,taiwan_leading_indicator,pmi_manufacturing_index,taiwan_export_orders,taiwan_industrial_production,taiwan_trade_balance,taiwan_retail_sales,taiwan_unemployment_rate,taiwan_cpi,taiwan_m1b_m2,taiex_bias,otc_bias,taiex_macd,otc_macd,taiex_dif,taiex_adx,taiex_pe,tw50_pe,mid100_pe,highdiv_pe,otc_pe,taiex_pb,tw50_pb,mid100_pb,highdiv_pb,otc_pb
2024-01-31,3.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,0.0,3.0,4.0,4.0,4.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
2024-02-29,3.0,3.0,4.0,0.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
2024-03-31,3.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-30,3.0,3.0,4.0,0.0,4.0,4.0,4.0,4.0,0.0,4.0,3.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-31,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,0.0,4.0,3.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-30,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-31,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,0.0,3.0,3.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-31,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,0.0,3.0,3.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-30,3.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,0.0,3.0,3.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-31,3.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,0.0,3.0,3.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-30,3.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,0.0,3.0,3.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-31,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,3.0,3.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-31,3.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,0.0,3.0,3.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-28,3.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,0.0,3.0,3.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-31,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0
2025-04-30,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,3.0,0.0
2025-05-31,3.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,0.0,3.0,3.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0
2025-06-30,4.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0
2025-07-31,4.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,0.0,4.0,3.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
2025-08-31,4.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-30,4.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-31,4.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-30,4.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,0.0,4.0,3.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
