Date,taiwan_leading_indicator,pmi_manufacturing_index,taiwan_export_orders,taiwan_industrial_production,taiwan_trade_balance,taiwan_retail_sales,taiwan_unemployment_rate,taiwan_cpi,taiwan_m1b_m2,taiex_bias,otc_bias,taiex_macd,otc_macd,taiex_dif,taiex_adx,taiex_pe,tw50_pe,mid100_pe,highdiv_pe,otc_pe,taiex_pb,tw50_pb,mid100_pb,highdiv_pb,otc_pb
2024-01-31,91.7,48.0,48421.0,91.54,2.39,422.56,3.31,1.8,-1.88,2.33,3.06,423.14,7.8,585.03,16.34,17.2,16.0,19.2,14.5,23.4,2.14,2.47,1.78,1.73,2.79
2024-02-29,91.5,48.1,37732.0,78.31,7.9,369.84,3.39,3.08,-1.12,6.47,6.21,479.02,8.58,702.53,17.6,18.4,17.1,20.9,15.1,24.9,2.26,2.63,1.88,1.8,2.94
2024-03-31,92.8,47.9,47165.0,92.95,8.66,391.41,3.38,2.15,-0.77,8.83,4.42,560.95,9.51,888.68,19.64,19.7,18.8,20.8,16.6,25.4,2.37,2.79,1.87,1.96,2.93
2024-04-30,93.8,49.4,47096.0,87.6,6.44,387.16,3.36,1.94,-1.12,4.47,0.47,657.87,10.39,1045.53,21.79,19.5,18.4,20.7,16.1,25.2,2.38,2.78,1.89,1.89,2.87
2024-05-31,94.29,55.4,48891.0,97.92,6.02,401.47,3.34,2.23,-1.04,3.43,2.84,771.71,11.29,1227.09,24.26,19.7,19.1,19.9,17.1,26.3,2.4,2.79,1.9,1.97,2.94
2024-06-30,95.06,54.1,45555.0,93.75,4.7,401.47,3.39,2.42,-1.02,8.34,6.93,913.28,12.37,1479.54,27.08,21.2,21.2,19.7,17.5,27.8,2.61,3.15,1.95,2.17,3.13
2024-07-31,95.59,52.9,50027.0,96.1,4.86,402.97,3.45,2.53,-0.98,-0.48,-0.74,1062.37,13.4,1658.74,29.98,20.0,20.0,18.4,16.3,26.6,2.51,3.04,1.83,2.02,3.0
2024-08-31,96.57,53.6,50219.0,102.58,11.49,390.13,3.48,2.35,-1.75,-1.21,2.67,1190.8,14.27,1704.5,30.25,19.6,19.5,18.1,15.8,27.1,2.49,3.0,1.83,1.99,3.1
2024-09-30,97.38,49.2,53790.0,99.91,7.13,402.62,3.43,1.82,-1.52,-0.3,0.75,1303.2,15.03,1752.82,30.69,19.1,19.1,16.7,15.5,26.7,2.49,3.04,1.77,1.97,3.03
2024-10-31,98.15,50.0,55453.0,100.53,7.04,410.93,3.4,1.69,-0.92,2.7,-0.42,1409.06,15.65,1832.48,31.38,19.1,19.3,16.5,16.1,26.4,2.56,3.19,1.74,2.05,2.96
2024-11-30,100.02,51.4,52275.0,102.48,7.94,439.67,3.36,2.08,-0.91,-1.42,-3.05,1496.99,15.97,1848.72,31.88,18.7,18.5,16.2,15.8,27.7,2.42,2.99,1.67,1.91,2.79
2024-12-31,102.07,50.8,52921.0,108.38,6.06,434.09,3.32,2.1,-1.51,0.14,-2.19,1572.18,16.02,1872.96,32.34,19.4,19.1,17.7,13.8,27.8,2.51,3.09,1.79,1.87,2.79
2025-01-31,102.56,48.7,46972.0,96.12,10.06,445.85,3.3,2.67,-1.15,2.29,-1.42,1638.01,15.79,1901.3,33.04,17.4,17.3,16.1,13.3,24.2,2.56,3.19,1.8,1.88,2.78
2025-02-28,104.32,54.0,49452.0,92.68,6.63,355.65,3.34,1.62,-2.09,-0.28,1.87,1686.34,15.44,1879.67,33.7,17.3,16.6,16.7,13.4,28.5,2.51,3.06,1.84,1.91,2.85
2025-03-31,104.27,54.2,54851.0,105.27,6.93,393.1,3.35,2.34,-2.56,-9.48,-9.07,1688.32,14.71,1696.25,32.37,15.4,14.6,16.0,12.4,22.7,2.26,2.76,1.63,1.76,2.52
2025-04-30,105.45,48.9,58950.07,108.74,7.4,384.91,3.32,2.03,-2.03,-6.64,-8.46,1633.77,13.37,1415.54,31.26,15.3,14.6,15.6,12.4,21.8,2.15,2.64,1.55,1.66,2.36
2025-05-31,105.66,51.0,60733.0,119.69,12.62,395.96,3.3,1.54,-1.36,1.66,-1.29,1565.76,11.85,1293.7,29.89,16.4,15.7,17.1,13.3,24.5,2.25,2.73,1.66,1.74,2.48
2025-06-30,106.03,49.6,59673.0,111.17,12.08,389.97,3.36,1.36,-1.01,6.18,3.83,1501.85,10.35,1246.25,28.13,17.5,16.9,17.9,13.5,25.0,2.34,2.9,1.67,1.75,2.53
2025-07-31,106.59,48.0,60446.0,114.12,14.33,388.46,3.4,1.53,-0.56,5.93,0.84,1459.86,8.94,1291.9,26.41,18.8,18.4,18.6,14.4,25.1,2.48,3.1,1.76,1.8,2.54
2025-08-31,107.32,47.9,60019.0,116.6,16.8,391.53,3.45,1.6,-0.31,4.73,8.05,1443.57,7.91,1378.39,25.35,19.9,18.7,21.1,14.8,32.2,2.74,3.36,2.04,2.01,2.94
2025-09-30,108.12,48.3,70222.0,115.38,12.4,393.83,3.38,1.25,-0.2,6.85,6.42,1463.81,7.34,1544.76,25.25,21.3,20.4,21.4,15.6,33.6,2.93,3.72,2.02,2.11,3.02
2025-10-31,108.12,50.3,70222.0,115.38,22.58,393.83,3.38,1.48,-0.2,10.3,3.25,1538.67,7.11,1838.12,25.98,22.6,21.8,22.8,16.6,33.9,3.2,4.14,2.15,2.25,3.05
2025-11-30,108.12,50.3,70222.0,115.38,22.58,393.83,3.38,1.48,-0.2,3.75,-2.49,1636.39,6.97,2027.29,26.67,21.8,20.8,23.6,15.3,32.5,2.94,3.78,2.02,1.99,2.76
